"filename", "language", "JSON", "JavaScript", "Handlebars", "comment", "blank", "total"
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\middlewares\validators\roleValidator.js", "JavaScript", 0, 30, 0, 1, 4, 35
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\middlewares\validators\serviceValidator.js", "JavaScript", 0, 88, 0, 25, 14, 127
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\middlewares\validators\userValidator.js", "JavaScript", 0, 151, 0, 29, 20, 200
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165831-create-estado.cjs", "JavaScript", 0, 30, 0, 1, 0, 31
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165839-create-rol.cjs", "JavaScript", 0, 30, 0, 1, 0, 31
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165853-create-autenticacion.cjs", "JavaScript", 0, 30, 0, 1, 0, 31
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165902-create-permiso.cjs", "JavaScript", 0, 34, 0, 0, 0, 34
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165914-create-rol-permiso.cjs", "JavaScript", 0, 48, 0, 2, 1, 51
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165932-create-accion.cjs", "JavaScript", 0, 41, 0, 2, 1, 44
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241104165943-create-usuario.cjs", "JavaScript", 0, 88, 0, 2, 1, 91
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241126183609-add-auth-fields-to-usuario.cjs", "JavaScript", 0, 27, 0, 1, 7, 35
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241126191711-rename-contraseña-to-password-in-usuario.cjs", "JavaScript", 0, 9, 0, 1, 3, 13
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241202201222-add-emailTokenExpires-to-usuarios.cjs", "JavaScript", 0, 12, 0, 1, 3, 16
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241202201223-add-avatar-twoFactorEnabled-to-Usuario.cjs", "JavaScript", 0, 18, 0, 0, 4, 22
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241210170913-add-two-factor-secret-to-usuario.cjs", "JavaScript", 0, 12, 0, 1, 4, 17
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241210175420-add-two-factor-temp-fields-to-usuario.cjs", "JavaScript", 0, 17, 0, 1, 4, 22
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241227121343-create-servicio.cjs", "JavaScript", 0, 48, 0, 0, 2, 50
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241227122016-create-dominio.cjs", "JavaScript", 0, 52, 0, 0, 1, 53
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241227122114-create-certificado.cjs", "JavaScript", 0, 7, 0, 13, 3, 23
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241227122232-create-dns.cjs", "JavaScript", 0, 36, 0, 0, 2, 38
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241227122429-create-dnsregistro.cjs", "JavaScript", 0, 52, 0, 0, 2, 54
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20241230134841-create-certificado-table.cjs", "JavaScript", 0, 52, 0, 0, 3, 55
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250127134031-create-usuario-contacto.cjs", "JavaScript", 0, 98, 0, 2, 5, 105
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250129153744-add-shopperId-to-usuario.cjs", "JavaScript", 0, 12, 0, 1, 4, 17
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250129181109-add-googleId-to-usuario.cjs", "JavaScript", 0, 13, 0, 1, 5, 19
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250203155815-update-certificado-table.cjs", "JavaScript", 0, 68, 0, 12, 17, 97
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250205131821-create-usuario-facturacion.cjs", "JavaScript", 0, 56, 0, 0, 2, 58
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250205172743-remove-address-from-usuario-contacto.cjs", "JavaScript", 0, 38, 0, 2, 3, 43
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250205172815-create-usuario-facturacion.cjs", "JavaScript", 0, 59, 0, 0, 3, 62
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250206170727-remove-nombre-fields-from-usuario-contacto.cjs", "JavaScript", 0, 22, 0, 2, 3, 27
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250206181514-add-id_usuario_padre-to-usuario.cjs", "JavaScript", 0, 18, 0, 0, 3, 21
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250206183041-add-subRol-to-usuario.cjs", "JavaScript", 0, 13, 0, 0, 3, 16
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250206184835-add-invitation-fields-to-usuario.cjs", "JavaScript", 0, 17, 0, 0, 3, 20
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250207163130-create-usuario-padre-hijo.cjs", "JavaScript", 0, 56, 0, 0, 1, 57
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250207164215-remove-padre-and-subrol-from-usuario.cjs", "JavaScript", 0, 18, 0, 0, 1, 19
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250207171909-add-accepted-to-usuariopadrehijo.cjs", "JavaScript", 0, 13, 0, 0, 3, 16
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250207171910-add-estado-invitacion-to-usuarioPadreHijo.cjs", "JavaScript", 0, 13, 0, 0, 3, 16
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\migrations\20250211190533-add-new-email-pending-field-to-usuario.cjs", "JavaScript", 0, 13, 0, 0, 3, 16
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\accion.js", "JavaScript", 0, 33, 0, 1, 3, 37
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\autenticacion.js", "JavaScript", 0, 29, 0, 1, 4, 34
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\certificado.js", "JavaScript", 0, 76, 0, 10, 13, 99
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\dns.js", "JavaScript", 0, 30, 0, 0, 4, 34
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\dnsregistro.js", "JavaScript", 0, 45, 0, 0, 5, 50
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\dominio.js", "JavaScript", 0, 45, 0, 0, 4, 49
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Backend\models\estado.js", "JavaScript", 0, 29, 0, 1, 4, 34
