"filename", "language", "JavaScript", "SCSS", "CSS", "JSON", "HTML", "XML", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\contexts\AuthContext.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 0, 4, 15, 160
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\contexts\ThemeContext.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 6, 7, 33
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\data\certificateData.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 7, 3, 72
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\index.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\layouts\AuthLayout.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\layouts\MainLayout.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\AcceptInvitation.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 0, 5, 13, 208
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\Accounts.js", "JavaScript", 149, 0, 0, 0, 0, 0, 0, 0, 6, 10, 165
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\AdminDashboard.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\Users\enzop\OneDrive\Desktop\Fedes Cloud\04_Implementacion\Frontend\fedescloud\src\pages\AuthPage.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 1, 5, 40
